Accuracy
0.973833
0.983033
0.984067
0.989700
0.992917
0.993917
0.993017
0.993750
0.994600
0.991850
0.994617
0.996367
0.995733
0.995150
0.994600
0.995083
0.996100
0.996917
0.996967
0.996733
